"Name","Live Bytes","Live Objects"
"sun.security.provider.NativePRNG","16 B (0%)","1 (0%)"
"java.net.InetSocketAddress","16 B (0%)","1 (0%)"
"java.util.ResourceBundle$ResourceBundleControlProviderHolder$$Lambda$19.0x0000000100065040","16 B (0%)","1 (0%)"
"jdk.internal.module.DefaultRoots$$Lambda$2.0x0000000100060840","16 B (0%)","1 (0%)"
"java.io.FilePermission$1","16 B (0%)","1 (0%)"
"java.security.ProtectionDomain$JavaSecurityAccessImpl","16 B (0%)","1 (0%)"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","16 B (0%)","1 (0%)"
"java.lang.management.ManagementFactory$PlatformMBeanFinder$$Lambda$40.0x0000000100083040","16 B (0%)","1 (0%)"
"java.util.regex.Pattern$$Lambda$37.0x0000000100084440","16 B (0%)","1 (0%)"
"sun.nio.fs.UnixNativeDispatcher$1","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$13.0x0000000100067440","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfRef","16 B (0%)","1 (0%)"
"java.lang.management.ManagementFactory$PlatformMBeanFinder$$Lambda$50.0x00000001000d0040","16 B (0%)","1 (0%)"
"java.lang.management.ManagementFactory$PlatformMBeanFinder$$Lambda$49.0x0000000100080c40","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MXBeanIntrospector","16 B (0%)","1 (0%)"
"jdk.management.jfr.internal.FlightRecorderMXBeanProvider","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$7.0x0000000100063440","16 B (0%)","1 (0%)"
"java.util.jar.JavaUtilJarAccessImpl","16 B (0%)","1 (0%)"
"sun.util.resources.LocaleData$LocaleDataStrategy","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfInt","16 B (0%)","1 (0%)"
"jdk.internal.misc.TerminatingThreadLocal$1","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$67.0x0000000100116c40","16 B (0%)","1 (0%)"
"java.security.cert.Certificate[]","16 B (0%)","1 (0%)"
"java.nio.file.FileSystems$DefaultFileSystemHolder$1","16 B (0%)","1 (0%)"
"java.lang.invoke.VarHandle$1","16 B (0%)","1 (0%)"
"java.lang.module.ModuleFinder$2$$Lambda$10.0x0000000100067840","16 B (0%)","1 (0%)"
"java.util.concurrent.SynchronousQueue$TransferStack","16 B (0%)","1 (0%)"
"jdk.internal.perf.Perf","16 B (0%)","1 (0%)"
"jdk.internal.reflect.ReflectionFactory","16 B (0%)","1 (0%)"
"javax.management.NotificationBroadcasterSupport$1","16 B (0%)","1 (0%)"
"java.util.ResourceBundle$1","16 B (0%)","1 (0%)"
"sun.net.www.protocol.file.Handler","16 B (0%)","1 (0%)"
"jdk.internal.logger.LazyLoggers$LazyLoggerFactories","16 B (0%)","1 (0%)"
"java.time.zone.ZoneRulesProvider$1","16 B (0%)","1 (0%)"
"sun.nio.ch.Util$1","16 B (0%)","1 (0%)"
"sun.nio.ch.Util$3","16 B (0%)","1 (0%)"
"sun.util.calendar.ZoneInfoFile$1","16 B (0%)","1 (0%)"
